ts,open,high,low,close,volume,datetime
1758671880.0,112008.0,112016.0,112008.0,112012.0,0.01962501,2025-09-23 23:58:00
1758671940.0,112016.0,112025.0,112015.0,112025.0,0.01813347,2025-09-23 23:59:00
1758672000.0,112025.0,112025.0,111974.0,111974.0,0.15954946,2025-09-24 00:00:00
1758672060.0,111974.0,112005.0,111974.0,112000.0,0.17748406,2025-09-24 00:01:00
1758672120.0,112002.0,112025.0,112002.0,112014.0,0.040524,2025-09-24 00:02:00
1758672180.0,112009.0,112059.0,112003.0,112054.0,0.05857825,2025-09-24 00:03:00
1758672240.0,112055.0,112055.0,111997.0,111997.0,0.49469528,2025-09-24 00:04:00
1758672300.0,111996.0,111996.0,111955.0,111959.0,2.12337361,2025-09-24 00:05:00
1758672360.0,111958.0,111993.0,111958.0,111981.0,0.07311525,2025-09-24 00:06:00
1758672420.0,111973.0,111973.0,111905.0,111905.0,0.76132008,2025-09-24 00:07:00
1758672480.0,111920.0,111941.0,111892.0,111903.0,0.51500129,2025-09-24 00:08:00
1758672540.0,111910.0,111917.0,111866.0,111876.0,1.95919861,2025-09-24 00:09:00
1758672600.0,111896.0,111897.0,111851.0,111851.0,0.6694693,2025-09-24 00:10:00
1758672660.0,111852.0,111933.0,111852.0,111931.0,1.62996522,2025-09-24 00:11:00
1758672720.0,111934.0,111999.0,111932.0,111996.0,0.01598586,2025-09-24 00:12:00
1758672780.0,111996.0,112033.0,111996.0,112032.0,1.61330195,2025-09-24 00:13:00
1758672840.0,112036.0,112058.0,112036.0,112058.0,0.14714052,2025-09-24 00:14:00
1758672900.0,112058.0,112074.0,112051.0,112072.0,0.5119259,2025-09-24 00:15:00
1758672960.0,112079.0,112086.0,112079.0,112086.0,0.01302644,2025-09-24 00:16:00
1758673020.0,112086.0,112160.0,112086.0,112154.0,10.39343296,2025-09-24 00:17:00
1758673080.0,112154.0,112201.0,112154.0,112172.0,2.06735835,2025-09-24 00:18:00
1758673140.0,112200.0,112228.0,112200.0,112228.0,0.61416325,2025-09-24 00:19:00
1758673200.0,112228.0,112315.0,112228.0,112315.0,3.58327294,2025-09-24 00:20:00
1758673260.0,112322.0,112363.0,112322.0,112363.0,1.5907547,2025-09-24 00:21:00
1758673320.0,112363.0,112401.0,112331.0,112331.0,2.85518043,2025-09-24 00:22:00
1758673380.0,112343.0,112348.0,112331.0,112346.0,0.08105931,2025-09-24 00:23:00
1758673440.0,112355.0,112376.0,112347.0,112354.0,0.76657242,2025-09-24 00:24:00
1758673500.0,112342.0,112342.0,112308.0,112316.0,0.00946694,2025-09-24 00:25:00
1758673560.0,112316.0,112326.0,112311.0,112326.0,0.00960867,2025-09-24 00:26:00
1758673620.0,112328.0,112373.0,112328.0,112373.0,0.11947868,2025-09-24 00:27:00
1758673680.0,112373.0,112373.0,112320.0,112320.0,0.02915588,2025-09-24 00:28:00
1758673740.0,112320.0,112327.0,112320.0,112322.0,0.06240826,2025-09-24 00:29:00
1758673800.0,112323.0,112325.0,112294.0,112325.0,0.69007629,2025-09-24 00:30:00
1758673860.0,112313.0,112313.0,112292.0,112309.0,0.18024612,2025-09-24 00:31:00
1758673920.0,112309.0,112319.0,112265.0,112265.0,2.9544,2025-09-24 00:32:00
1758673980.0,112265.0,112265.0,112245.0,112247.0,0.00665931,2025-09-24 00:33:00
1758674040.0,112268.0,112281.0,112245.0,112245.0,0.71593377,2025-09-24 00:34:00
1758674100.0,112244.0,112250.0,112231.0,112232.0,0.20218742,2025-09-24 00:35:00
1758674160.0,112231.0,112232.0,112192.0,112230.0,0.24739803,2025-09-24 00:36:00
1758674220.0,112229.0,112245.0,112213.0,112213.0,0.01206402,2025-09-24 00:37:00
1758674280.0,112213.0,112231.0,112210.0,112231.0,0.31902804,2025-09-24 00:38:00
1758674340.0,112237.0,112287.0,112237.0,112287.0,0.15057375,2025-09-24 00:39:00
1758674400.0,112287.0,112288.0,112251.0,112251.0,0.00664916,2025-09-24 00:40:00
1758674460.0,112251.0,112253.0,112239.0,112239.0,0.00579352,2025-09-24 00:41:00
1758674520.0,112234.0,112245.0,112215.0,112215.0,0.45900772,2025-09-24 00:42:00
1758674580.0,112215.0,112225.0,112215.0,112225.0,0.00602101,2025-09-24 00:43:00
1758674640.0,112225.0,112225.0,112222.0,112225.0,0.03651527,2025-09-24 00:44:00
1758674700.0,112249.0,112331.0,112249.0,112331.0,1.28440927,2025-09-24 00:45:00
1758674760.0,112331.0,112374.0,112331.0,112354.0,0.16770679,2025-09-24 00:46:00
1758674820.0,112356.0,112357.0,112312.0,112312.0,0.28829373,2025-09-24 00:47:00
1758674880.0,112302.0,112302.0,112281.0,112281.0,0.14147069,2025-09-24 00:48:00
1758674940.0,112279.0,112351.0,112279.0,112351.0,0.00734869,2025-09-24 00:49:00
1758675000.0,112350.0,112351.0,112257.0,112258.0,0.16753261,2025-09-24 00:50:00
1758675060.0,112257.0,112281.0,112256.0,112280.0,0.22931078,2025-09-24 00:51:00
1758675120.0,112296.0,112296.0,112283.0,112283.0,0.10406491,2025-09-24 00:52:00
1758675180.0,112283.0,112283.0,112258.0,112259.0,0.04159253,2025-09-24 00:53:00
1758675240.0,112259.0,112348.0,112259.0,112318.0,0.63395405,2025-09-24 00:54:00
1758675300.0,112316.0,112316.0,112275.0,112278.0,0.30377864,2025-09-24 00:55:00
1758675360.0,112278.0,112278.0,112261.0,112261.0,0.00643074,2025-09-24 00:56:00
1758675420.0,112261.0,112261.0,112257.0,112259.0,0.01011728,2025-09-24 00:57:00
1758675480.0,112259.0,112266.0,112257.0,112266.0,0.01786445,2025-09-24 00:58:00
1758675540.0,112267.0,112267.0,112241.0,112256.0,0.38875743,2025-09-24 00:59:00
1758675600.0,112256.0,112258.0,112242.0,112242.0,0.00824018,2025-09-24 01:00:00
1758675660.0,112242.0,112242.0,112214.0,112214.0,0.02034151,2025-09-24 01:01:00
1758675720.0,112212.0,112212.0,112177.0,112198.0,0.48838356,2025-09-24 01:02:00
1758675780.0,112199.0,112255.0,112194.0,112255.0,2.7209084,2025-09-24 01:03:00
1758675840.0,112272.0,112275.0,112228.0,112250.0,0.10892132,2025-09-24 01:04:00
1758675900.0,112271.0,112303.0,112271.0,112302.0,0.0210583,2025-09-24 01:05:00
1758675960.0,112302.0,112325.0,112302.0,112313.0,0.03005872,2025-09-24 01:06:00
1758676020.0,112313.0,112339.0,112313.0,112335.0,0.01967001,2025-09-24 01:07:00
1758676080.0,112336.0,112356.0,112335.0,112356.0,0.00495913,2025-09-24 01:08:00
1758676140.0,112366.0,112366.0,112349.0,112349.0,0.00828164,2025-09-24 01:09:00
1758676200.0,112350.0,112360.0,112349.0,112359.0,0.02524625,2025-09-24 01:10:00
1758676260.0,112359.0,112360.0,112350.0,112351.0,0.01777826,2025-09-24 01:11:00
1758676320.0,112350.0,112350.0,112344.0,112345.0,0.00906836,2025-09-24 01:12:00
1758676380.0,112345.0,112345.0,112331.0,112331.0,0.0579474,2025-09-24 01:13:00
1758676440.0,112331.0,112352.0,112331.0,112351.0,0.01024403,2025-09-24 01:14:00
1758676500.0,112351.0,112389.0,112351.0,112362.0,0.41662387,2025-09-24 01:15:00
1758676560.0,112389.0,112390.0,112389.0,112390.0,0.00415268,2025-09-24 01:16:00
1758676620.0,112386.0,112386.0,112381.0,112382.0,0.06099245,2025-09-24 01:17:00
1758676680.0,112382.0,112403.0,112382.0,112402.0,0.25353103,2025-09-24 01:18:00
1758676740.0,112402.0,112417.0,112399.0,112415.0,0.26600601,2025-09-24 01:19:00
1758676800.0,112415.0,112415.0,112411.0,112414.0,0.00310954,2025-09-24 01:20:00
1758676860.0,112412.0,112417.0,112400.0,112400.0,0.01479511,2025-09-24 01:21:00
1758676920.0,112400.0,112400.0,112397.0,112397.0,0.00739237,2025-09-24 01:22:00
1758676980.0,112397.0,112397.0,112391.0,112392.0,0.06760459,2025-09-24 01:23:00
1758677040.0,112392.0,112393.0,112392.0,112393.0,0.00767126,2025-09-24 01:24:00
1758677100.0,112393.0,112395.0,112393.0,112394.0,0.10639343,2025-09-24 01:25:00
1758677160.0,112394.0,112394.0,112385.0,112385.0,0.0140452,2025-09-24 01:26:00
1758677220.0,112385.0,112385.0,112375.0,112385.0,1.17919504,2025-09-24 01:27:00
1758677280.0,112392.0,112437.0,112392.0,112437.0,1.15833682,2025-09-24 01:28:00
1758677340.0,112433.0,112434.0,112428.0,112429.0,0.00619435,2025-09-24 01:29:00
1758677400.0,112430.0,112433.0,112402.0,112402.0,0.23791146,2025-09-24 01:30:00
1758677460.0,112399.0,112399.0,112384.0,112384.0,0.00738623,2025-09-24 01:31:00
1758677520.0,112384.0,112422.0,112384.0,112418.0,0.01058178,2025-09-24 01:32:00
1758677580.0,112418.0,112436.0,112417.0,112435.0,1.73688482,2025-09-24 01:33:00
1758677640.0,112433.0,112433.0,112419.0,112420.0,0.05684919,2025-09-24 01:34:00
1758677700.0,112420.0,112428.0,112420.0,112428.0,0.00680205,2025-09-24 01:35:00
1758677760.0,112428.0,112434.0,112428.0,112432.0,0.00745829,2025-09-24 01:36:00
1758677820.0,112432.0,112471.0,112432.0,112471.0,1.78517133,2025-09-24 01:37:00
1758677880.0,112484.0,112511.0,112484.0,112508.0,1.40417035,2025-09-24 01:38:00
1758677940.0,112511.0,112529.0,112511.0,112528.0,2.89824948,2025-09-24 01:39:00
1758678000.0,112530.0,112530.0,112508.0,112508.0,0.0074111,2025-09-24 01:40:00
1758678060.0,112507.0,112507.0,112460.0,112460.0,0.40702772,2025-09-24 01:41:00
1758678120.0,112459.0,112459.0,112430.0,112430.0,0.15287581,2025-09-24 01:42:00
1758678180.0,112429.0,112429.0,112388.0,112397.0,0.73910249,2025-09-24 01:43:00
1758678240.0,112397.0,112404.0,112390.0,112390.0,0.61169502,2025-09-24 01:44:00
1758678300.0,112390.0,112400.0,112385.0,112398.0,0.06911815,2025-09-24 01:45:00
1758678360.0,112399.0,112437.0,112398.0,112437.0,0.20219759,2025-09-24 01:46:00
1758678420.0,112437.0,112438.0,112386.0,112412.0,1.43444895,2025-09-24 01:47:00
1758678480.0,112416.0,112447.0,112416.0,112447.0,0.57844757,2025-09-24 01:48:00
1758678540.0,112446.0,112466.0,112445.0,112466.0,0.27023153,2025-09-24 01:49:00
1758678600.0,112465.0,112465.0,112459.0,112459.0,0.00664397,2025-09-24 01:50:00
1758678660.0,112459.0,112459.0,112455.0,112455.0,0.1013995,2025-09-24 01:51:00
1758678720.0,112456.0,112500.0,112456.0,112495.0,0.26045666,2025-09-24 01:52:00
1758678780.0,112495.0,112495.0,112492.0,112494.0,0.05750572,2025-09-24 01:53:00
1758678840.0,112497.0,112498.0,112497.0,112497.0,0.01038396,2025-09-24 01:54:00
1758678900.0,112497.0,112497.0,112467.0,112467.0,0.32150195,2025-09-24 01:55:00
1758678960.0,112467.0,112491.0,112463.0,112491.0,1.35128152,2025-09-24 01:56:00
1758679020.0,112503.0,112503.0,112503.0,112503.0,0.01239865,2025-09-24 01:57:00
1758679080.0,112503.0,112503.0,112486.0,112486.0,0.05489246,2025-09-24 01:58:00
1758679140.0,112485.0,112485.0,112468.0,112475.0,0.31424104,2025-09-24 01:59:00
1758679200.0,112475.0,112481.0,112464.0,112464.0,0.12018566,2025-09-24 02:00:00
1758679260.0,112462.0,112515.0,112462.0,112494.0,0.03435809,2025-09-24 02:01:00
1758679320.0,112496.0,112500.0,112496.0,112499.0,0.10270355,2025-09-24 02:02:00
1758679380.0,112499.0,112502.0,112499.0,112502.0,0.01631474,2025-09-24 02:03:00
1758679440.0,112514.0,112526.0,112514.0,112525.0,0.59811391,2025-09-24 02:04:00
1758679500.0,112525.0,112525.0,112512.0,112514.0,1.16135114,2025-09-24 02:05:00
1758679560.0,112511.0,112511.0,112476.0,112476.0,0.15032434,2025-09-24 02:06:00
1758679620.0,112476.0,112476.0,112463.0,112463.0,0.05212331,2025-09-24 02:07:00
1758679680.0,112463.0,112463.0,112458.0,112462.0,0.15522793,2025-09-24 02:08:00
1758679740.0,112461.0,112462.0,112460.0,112460.0,0.10690286,2025-09-24 02:09:00
1758679800.0,112459.0,112459.0,112409.0,112409.0,0.35035093,2025-09-24 02:10:00
1758679860.0,112409.0,112409.0,112318.0,112318.0,1.88790062,2025-09-24 02:11:00
1758679920.0,112321.0,112321.0,112255.0,112255.0,2.4943442,2025-09-24 02:12:00
1758679980.0,112255.0,112255.0,112180.0,112195.0,14.76981009,2025-09-24 02:13:00
1758680040.0,112194.0,112196.0,112174.0,112196.0,0.88853717,2025-09-24 02:14:00
1758680100.0,112198.0,112218.0,112197.0,112197.0,0.79620811,2025-09-24 02:15:00
1758680160.0,112196.0,112196.0,112120.0,112130.0,2.7660963,2025-09-24 02:16:00
1758680220.0,112140.0,112140.0,112101.0,112118.0,1.26957328,2025-09-24 02:17:00
1758680280.0,112118.0,112118.0,112098.0,112099.0,0.05891489,2025-09-24 02:18:00
1758680340.0,112104.0,112135.0,112104.0,112116.0,0.09130139,2025-09-24 02:19:00
1758680400.0,112118.0,112121.0,112066.0,112066.0,2.48167401,2025-09-24 02:20:00
1758680460.0,112067.0,112086.0,112067.0,112086.0,0.01229404,2025-09-24 02:21:00
1758680520.0,112101.0,112131.0,112101.0,112131.0,0.00799741,2025-09-24 02:22:00
